ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence
Christ College ATM,20-08-2012,67,28,39,291500,132300,159200,MONDAY,M,H,HHW
Christ College ATM,21-08-2012,95,58,37,426400,324000,102400,MONDAY,M,H,HHW
Christ College ATM,22-08-2012,82,49,33,314600,235900,78700,MONDAY,M,H,HHW
Christ College ATM,23-08-2012,93,40,53,383800,251200,132600,MONDAY,M,H,HHW
Christ College ATM,24-08-2012,111,64,47,540800,418300,122500,MONDAY,M,H,HHW
Christ College ATM,25-08-2012,99,52,47,343100,203500,139600,SATURDAY,NH,H,WHH
Christ College ATM,26-08-2012,89,29,60,243900,95900,148000,SUNDAY,NH,H,HHW
Christ College ATM,27-08-2012,95,52,43,433600,264400,169200,SUNDAY,NH,H,HHW
Christ College ATM,28-08-2012,100,41,59,418500,198300,220200,SUNDAY,NH,H,HHW
Christ College ATM,29-08-2012,91,34,57,414900,174000,240900,SUNDAY,NH,H,HHW
Christ College ATM,30-08-2012,106,39,67,412400,166700,245700,SUNDAY,NH,H,HHW
Christ College ATM,31-08-2012,110,53,57,473900,289900,184000,SUNDAY,NH,H,HHW
Christ College ATM,01-09-2012,134,64,70,768100,397200,370900,SATURDAY,NH,H,WHH
Christ College ATM,02-09-2012,136,37,99,555700,183000,372700,SUNDAY,NH,H,HHW
Christ College ATM,03-09-2012,124,58,66,554700,301800,252900,SUNDAY,NH,H,HHW
Christ College ATM,04-09-2012,114,52,62,718900,407400,311500,SUNDAY,NH,H,HHW
Christ College ATM,05-09-2012,118,58,60,648500,373300,275200,SUNDAY,NH,H,HHW
Christ College ATM,06-09-2012,113,60,53,563900,367700,196200,SUNDAY,NH,H,HHW
Christ College ATM,07-09-2012,122,64,58,556800,327200,229600,SUNDAY,NH,H,HHW
Christ College ATM,08-09-2012,128,55,73,679300,375600,303700,SATURDAY,NH,H,WHH
Christ College ATM,09-09-2012,140,35,105,430500,129500,301000,SUNDAY,NH,H,HHW
Christ College ATM,10-09-2012,108,47,61,463600,235900,227700,SUNDAY,NH,H,HHW
Christ College ATM,11-09-2012,131,40,91,654600,245700,408900,SUNDAY,NH,H,HHW
Christ College ATM,12-09-2012,123,39,84,503600,176300,327300,SUNDAY,NH,H,HHW
Christ College ATM,13-09-2012,120,61,59,569200,389700,179500,SUNDAY,NH,H,HHW
Christ College ATM,14-09-2012,97,48,49,472300,269700,202600,SUNDAY,NH,H,HHW
Christ College ATM,15-09-2012,106,58,48,441500,264900,176600,SATURDAY,NH,H,WHH
Christ College ATM,16-09-2012,129,43,86,442800,261200,181600,SUNDAY,NH,H,HHW
Christ College ATM,17-09-2012,87,35,52,337400,209600,127800,SUNDAY,NH,H,HHW
Christ College ATM,18-09-2012,109,43,66,386300,210200,176100,SUNDAY,NH,H,HHW
Christ College ATM,19-09-2012,116,33,83,368300,132800,235500,WEDNESDAY,H,H,WHW
Christ College ATM,20-09-2012,109,40,69,342400,129500,212900,WEDNESDAY,H,H,WHW
Christ College ATM,21-09-2012,144,46,98,447100,146600,300500,WEDNESDAY,H,H,WHW
Christ College ATM,22-09-2012,125,56,69,612100,333100,279000,SATURDAY,NH,H,WHH
Christ College ATM,23-09-2012,88,39,49,301200,178700,122500,SUNDAY,NH,H,HHW
Christ College ATM,24-09-2012,99,54,45,442000,283900,158100,SUNDAY,NH,H,HHW
Christ College ATM,25-09-2012,78,34,44,320300,170300,150000,SUNDAY,NH,H,HHW
Christ College ATM,26-09-2012,74,42,32,320200,221000,99200,SUNDAY,NH,H,HHW
Christ College ATM,27-09-2012,108,35,73,394800,158900,235900,SUNDAY,NH,H,HHW
Christ College ATM,28-09-2012,154,40,114,696200,248000,448200,SUNDAY,NH,H,HHW
Christ College ATM,29-09-2012,101,43,58,384400,198000,186400,SATURDAY,NH,H,WHH
Christ College ATM,30-09-2012,81,36,45,306500,191400,115100,SUNDAY,NH,H,HHW
Christ College ATM,01-10-2012,80,45,35,308000,155300,152700,SUNDAY,NH,H,HHW
Christ College ATM,02-10-2012,66,32,34,276700,142800,133900,TUESDAY,N,H,WHW
Christ College ATM,03-10-2012,215,46,169,822700,201100,621600,TUESDAY,N,H,WHW
Christ College ATM,04-10-2012,139,46,93,740800,275300,465500,TUESDAY,N,H,WHW
Christ College ATM,05-10-2012,157,52,105,719600,287100,432500,TUESDAY,N,H,WHW
Christ College ATM,06-10-2012,170,62,108,835500,343800,491700,SATURDAY,NH,H,WHH
Christ College ATM,07-10-2012,99,38,61,401500,178800,222700,SUNDAY,NH,H,HHW
Christ College ATM,08-10-2012,181,54,127,729500,260500,469000,SUNDAY,NH,H,HHW
Christ College ATM,09-10-2012,138,64,74,679300,367200,312100,SUNDAY,NH,H,HHW
Christ College ATM,10-10-2012,144,58,86,703600,268600,435000,SUNDAY,NH,H,HHW
Christ College ATM,11-10-2012,129,54,75,618400,332500,285900,SUNDAY,NH,H,HHW
Christ College ATM,12-10-2012,128,59,69,564200,356300,207900,SUNDAY,NH,H,HHW
Christ College ATM,13-10-2012,129,58,71,523800,331500,192300,SATURDAY,NH,H,WHH
Christ College ATM,14-10-2012,89,41,48,371500,232700,138800,SUNDAY,NH,H,HHW
Christ College ATM,15-10-2012,143,48,95,683300,322900,360400,SUNDAY,NH,H,HHW
Christ College ATM,16-10-2012,110,57,53,478800,300700,178100,SUNDAY,NH,H,HHW
Christ College ATM,17-10-2012,100,50,50,464500,303500,161000,SUNDAY,NH,H,HHW
Christ College ATM,18-10-2012,90,41,49,380600,238200,142400,SUNDAY,NH,H,HHW
Christ College ATM,19-10-2012,88,53,35,487800,359700,128100,SUNDAY,NH,H,HHW
Christ College ATM,20-10-2012,100,49,51,488800,306300,182500,SATURDAY,NH,H,WHH
Christ College ATM,21-10-2012,57,29,28,250400,168600,81800,SUNDAY,NH,H,HHW
Christ College ATM,22-10-2012,94,58,36,530700,424000,106700,SUNDAY,NH,H,HHW
Christ College ATM,23-10-2012,68,35,33,365700,256700,109000,TUESDAY,H,H,WHH
Christ College ATM,24-10-2012,67,45,22,256000,191500,64500,WEDNESDAY,H,H,HHW
Christ College ATM,25-10-2012,101,63,38,448300,320900,127400,WEDNESDAY,H,H,HHW
Christ College ATM,26-10-2012,56,32,24,227400,170300,57100,WEDNESDAY,H,H,HHW
Christ College ATM,27-10-2012,74,33,41,308700,188600,120100,SATURDAY,M,H,WHH
Christ College ATM,28-10-2012,97,31,66,317200,174900,142300,SUNDAY,NH,H,HHW
Christ College ATM,29-10-2012,104,37,67,343200,115000,228200,SUNDAY,NH,H,HHW
Christ College ATM,30-10-2012,99,52,47,368400,237800,130600,SUNDAY,NH,H,HHW
Christ College ATM,31-10-2012,59,21,38,321000,141300,179700,SUNDAY,NH,H,HHW
Christ College ATM,01-11-2012,112,47,65,647600,285800,361800,SUNDAY,NH,H,HHW
Christ College ATM,02-11-2012,131,31,100,548300,151700,396600,SUNDAY,NH,H,HHW
Christ College ATM,03-11-2012,141,76,65,622100,361000,261100,SATURDAY,NH,H,WHH
Christ College ATM,04-11-2012,122,45,77,558700,266800,291900,SUNDAY,NH,H,HHW
Christ College ATM,05-11-2012,165,54,111,895300,296500,598800,SUNDAY,NH,H,HHW
Christ College ATM,06-11-2012,135,72,63,578400,327800,250600,SUNDAY,NH,H,HHW
Christ College ATM,07-11-2012,208,78,130,1094800,515700,579100,SUNDAY,NH,H,HHW
Christ College ATM,08-11-2012,160,54,106,674200,290100,384100,SUNDAY,NH,H,HHW
Christ College ATM,09-11-2012,132,53,79,560900,271100,289800,SUNDAY,NH,H,HHW
Christ College ATM,10-11-2012,185,67,118,825100,356800,468300,SATURDAY,NH,H,WHH
Christ College ATM,11-11-2012,155,47,108,583700,203300,380400,SUNDAY,NH,H,HHW
Christ College ATM,12-11-2012,104,57,47,410500,285400,125100,SUNDAY,NH,H,HHW
Christ College ATM,13-11-2012,55,22,33,179800,88700,91100,TUESDAY,H,H,WHW
Christ College ATM,14-11-2012,82,42,40,267100,130100,137000,TUESDAY,H,H,WHW
Christ College ATM,15-11-2012,106,53,53,515600,294300,221300,TUESDAY,H,H,WHW
Christ College ATM,16-11-2012,98,54,44,364600,196500,168100,TUESDAY,H,H,WHW
Christ College ATM,17-11-2012,118,54,64,578800,324900,253900,SATURDAY,NH,H,WHH
Christ College ATM,18-11-2012,77,26,51,239100,80800,158300,SUNDAY,NH,H,HHW
Christ College ATM,19-11-2012,66,27,39,202500,92800,109700,SUNDAY,NH,H,HHW
Christ College ATM,20-11-2012,81,50,31,336100,236800,99300,SUNDAY,NH,H,HHW
Christ College ATM,21-11-2012,80,52,28,426700,319400,107300,SUNDAY,NH,H,HHW
Christ College ATM,22-11-2012,82,45,37,335900,252200,83700,SUNDAY,NH,H,HHW
Christ College ATM,23-11-2012,96,54,42,427800,302300,125500,SUNDAY,NH,H,HHW
Christ College ATM,24-11-2012,86,44,42,341900,259000,82900,SATURDAY,NH,H,WHH
Christ College ATM,25-11-2012,83,36,47,237700,89600,148100,SUNDAY,M,H,HHW
Christ College ATM,26-11-2012,78,49,29,359900,270800,89100,SUNDAY,M,H,HHW
Christ College ATM,27-11-2012,97,51,46,439800,267900,171900,SUNDAY,M,H,HHW
Christ College ATM,28-11-2012,97,52,45,475300,336200,139100,SUNDAY,M,H,HHW
Christ College ATM,29-11-2012,99,53,46,409600,310500,99100,SUNDAY,M,H,HHW
Christ College ATM,30-11-2012,111,49,62,511600,246500,265100,SUNDAY,M,H,HHW
Christ College ATM,01-12-2012,143,71,72,791300,462400,328900,SATURDAY,NH,H,WHH
Christ College ATM,02-12-2012,181,50,131,810600,279400,531200,SUNDAY,NH,H,HHW
Christ College ATM,03-12-2012,132,43,89,538100,174400,363700,SUNDAY,NH,H,HHW
Christ College ATM,04-12-2012,139,60,79,678500,308900,369600,SUNDAY,NH,H,HHW
Christ College ATM,05-12-2012,147,56,91,800400,360600,439800,SUNDAY,NH,H,HHW
Christ College ATM,06-12-2012,146,56,90,585300,231000,354300,SUNDAY,NH,H,HHW
Christ College ATM,07-12-2012,119,55,64,527900,304700,223200,SUNDAY,NH,H,HHW
Christ College ATM,08-12-2012,146,81,65,768900,496000,272900,SATURDAY,NH,H,WHH
Christ College ATM,09-12-2012,108,46,62,439700,201100,238600,SUNDAY,NH,H,HHW
Christ College ATM,10-12-2012,106,52,54,476500,267300,209200,SUNDAY,NH,H,HHW
Christ College ATM,11-12-2012,125,50,75,582500,253200,329300,SUNDAY,NH,H,HHW
Christ College ATM,12-12-2012,109,44,65,406900,146000,260900,SUNDAY,NH,H,HHW
Christ College ATM,13-12-2012,116,43,73,512500,195400,317100,SUNDAY,NH,H,HHW
Christ College ATM,14-12-2012,80,43,37,366100,252800,113300,SUNDAY,NH,H,HHW
Christ College ATM,15-12-2012,105,53,52,568700,376800,191900,SATURDAY,NH,H,WHH
Christ College ATM,16-12-2012,119,33,86,315200,96600,218600,SUNDAY,NH,H,HHW
Christ College ATM,17-12-2012,94,51,43,277500,138600,138900,SUNDAY,NH,H,HHW
Christ College ATM,18-12-2012,106,52,54,428800,251400,177400,SUNDAY,NH,H,HHW
Christ College ATM,19-12-2012,107,43,64,324400,176100,148300,SUNDAY,NH,H,HHW
Christ College ATM,20-12-2012,106,65,41,521500,382400,139100,SUNDAY,NH,H,HHW
Christ College ATM,21-12-2012,92,64,28,353000,294800,58200,SUNDAY,NH,H,HHW
Christ College ATM,22-12-2012,84,55,29,437200,354500,82700,SATURDAY,NH,H,WHH
Christ College ATM,23-12-2012,78,28,50,358700,152300,206400,SUNDAY,NH,H,HHW
Christ College ATM,24-12-2012,108,49,59,359600,174900,184700,SUNDAY,NH,H,HHW
Christ College ATM,25-12-2012,68,36,32,163000,100100,62900,TUESDAY,C,H,WHW
Christ College ATM,26-12-2012,105,47,58,480700,214500,266200,TUESDAY,C,H,WHW
Christ College ATM,27-12-2012,100,41,59,430300,213300,217000,TUESDAY,C,H,WHW
Christ College ATM,28-12-2012,80,41,39,244600,149600,95000,TUESDAY,C,H,WHW
Christ College ATM,29-12-2012,103,51,52,549300,282000,267300,SATURDAY,NH,H,WHH
Christ College ATM,30-12-2012,69,26,43,169600,42300,127300,SUNDAY,NH,H,HHW
Christ College ATM,31-12-2012,105,58,47,381700,261400,120300,SUNDAY,NH,H,HHW
Christ College ATM,01-01-2013,95,39,56,427100,235700,191400,TUESDAY,C,H,WHW
Christ College ATM,02-01-2013,106,40,66,452100,171800,280300,WEDNESDAY,NH,W,HWW
Christ College ATM,03-01-2013,117,66,51,671600,462900,208700,THURSDAY,NH,W,WWW
Christ College ATM,04-01-2013,143,56,87,682900,351300,331600,FRIDAY,NH,W,WHH
Christ College ATM,05-01-2013,160,66,94,748100,375500,372600,SATURDAY,NH,H,HHW
Christ College ATM,06-01-2013,65,34,31,293200,187200,106000,SUNDAY,NH,H,HWW
Christ College ATM,07-01-2013,140,56,84,763100,282000,481100,MONDAY,NH,W,WWW
Christ College ATM,08-01-2013,114,41,73,547900,239400,308500,TUESDAY,NH,W,WWW
Christ College ATM,09-01-2013,152,67,85,706900,388800,318100,WEDNESDAY,NH,W,WWW
Christ College ATM,10-01-2013,118,45,73,568900,266000,302900,THURSDAY,NH,W,WWW
Christ College ATM,11-01-2013,179,61,118,910800,360300,550500,FRIDAY,NH,W,WWH
Christ College ATM,12-01-2013,84,38,46,333000,169700,163300,SATURDAY,NH,H,HHH
Christ College ATM,13-01-2013,104,30,74,318800,90600,228200,SUNDAY,NH,H,HHH
Christ College ATM,14-01-2013,60,18,42,166000,82300,83700,MONDAY,H,H,HHH
Christ College ATM,15-01-2013,62,30,32,282700,127200,155500,TUESDAY,H,H,HHH
Christ College ATM,16-01-2013,65,36,29,152900,99800,53100,WEDNESDAY,H,H,HHW
Christ College ATM,17-01-2013,55,26,29,269100,197500,71600,THURSDAY,NH,W,HWW
Christ College ATM,18-01-2013,102,58,44,411200,270600,140600,FRIDAY,NH,W,WWH
Christ College ATM,19-01-2013,110,46,64,475300,221600,253700,SATURDAY,NH,H,WHH
Christ College ATM,20-01-2013,124,32,92,578800,141900,436900,SUNDAY,NH,H,HHW
Christ College ATM,21-01-2013,147,74,73,554000,291300,262700,MONDAY,NH,W,HWW
Christ College ATM,22-01-2013,89,52,37,369600,236200,133400,TUESDAY,NH,W,WWW
Christ College ATM,23-01-2013,97,53,44,336300,201300,135000,WEDNESDAY,NH,W,WWW
Christ College ATM,24-01-2013,102,58,44,510300,387000,123300,THURSDAY,NH,W,WWH
Christ College ATM,25-01-2013,83,45,38,263700,150300,113400,FRIDAY,M,H,WHH
Christ College ATM,26-01-2013,68,45,23,238900,173300,65600,SATURDAY,N,H,HHH
Christ College ATM,27-01-2013,85,48,37,420200,298600,121600,SUNDAY,NH,H,HHH
Christ College ATM,28-01-2013,113,41,72,568500,264500,304000,MONDAY,NH,W,HWW
Christ College ATM,29-01-2013,108,49,59,441500,231400,210100,TUESDAY,NH,W,WWW
Christ College ATM,30-01-2013,98,39,59,438900,200600,238300,WEDNESDAY,NH,W,WWW
Christ College ATM,31-01-2013,130,69,61,691300,479200,212100,THURSDAY,NH,W,WWW
Christ College ATM,01-02-2013,98,47,51,628000,362400,265600,FRIDAY,NH,W,WWH
Christ College ATM,02-02-2013,126,64,62,767000,431200,335800,SATURDAY,NH,H,WHH
Christ College ATM,03-02-2013,114,42,72,583500,234700,348800,SUNDAY,NH,H,HHW
Christ College ATM,04-02-2013,180,62,118,909100,393500,515600,MONDAY,NH,W,HWW
Christ College ATM,05-02-2013,175,56,119,800700,326900,473800,TUESDAY,NH,W,WWW
Christ College ATM,06-02-2013,172,65,107,804300,323900,480400,WEDNESDAY,NH,W,WWW
Christ College ATM,07-02-2013,89,44,45,395900,225500,170400,THURSDAY,NH,W,WWW
Christ College ATM,08-02-2013,134,53,81,675100,291000,384100,FRIDAY,NH,W,WWH
Christ College ATM,09-02-2013,116,55,61,574500,340300,234200,SATURDAY,NH,H,WHH
Christ College ATM,10-02-2013,102,49,53,333300,184100,149200,SUNDAY,NH,H,HHW
Christ College ATM,11-02-2013,115,48,67,618200,336100,282100,MONDAY,NH,W,HWW
Christ College ATM,12-02-2013,131,50,81,552000,319200,232800,TUESDAY,NH,W,WWW
Christ College ATM,13-02-2013,110,63,47,656900,466500,190400,WEDNESDAY,NH,W,WWW
Christ College ATM,14-02-2013,98,52,46,443400,274000,169400,THURSDAY,NH,W,WWW
Christ College ATM,15-02-2013,143,51,92,425000,200400,224600,FRIDAY,NH,W,WWH
Christ College ATM,16-02-2013,96,49,47,410900,279500,131400,SATURDAY,NH,H,WHH
Christ College ATM,17-02-2013,75,37,38,277400,164300,113100,SUNDAY,NH,H,HHW
Christ College ATM,18-02-2013,135,57,78,569500,297200,272300,MONDAY,NH,W,HWW
Christ College ATM,19-02-2013,134,75,59,634100,416000,218100,TUESDAY,NH,W,WWW
Christ College ATM,20-02-2013,63,34,29,237900,152500,85400,WEDNESDAY,NH,W,WWW
Christ College ATM,21-02-2013,92,54,38,436000,288800,147200,THURSDAY,NH,W,WWW
Christ College ATM,22-02-2013,89,44,45,395500,256300,139200,FRIDAY,NH,W,WWH
Christ College ATM,23-02-2013,103,44,59,504800,294900,209900,SATURDAY,NH,H,WHH
Christ College ATM,24-02-2013,78,27,51,160400,57200,103200,SUNDAY,NH,H,HHW
Christ College ATM,25-02-2013,121,69,52,532500,369100,163400,MONDAY,NH,W,HWW
Christ College ATM,26-02-2013,127,56,71,514400,199700,314700,TUESDAY,NH,W,WWW
Christ College ATM,27-02-2013,114,69,45,513900,326300,187600,WEDNESDAY,NH,W,WWW
Christ College ATM,28-02-2013,102,53,49,492000,318300,173700,THURSDAY,NH,W,WWW
Christ College ATM,01-03-2013,122,51,71,579900,306600,273300,FRIDAY,NH,W,WWH
Christ College ATM,02-03-2013,195,82,113,1229400,637000,592400,SATURDAY,NH,H,WHH
Christ College ATM,03-03-2013,119,50,69,476100,254300,221800,SUNDAY,NH,H,HHW
Christ College ATM,04-03-2013,127,61,66,620200,336000,284200,MONDAY,NH,W,HWW
Christ College ATM,05-03-2013,149,66,83,717000,354100,362900,TUESDAY,NH,W,WWW
Christ College ATM,06-03-2013,156,61,95,631300,291200,340100,WEDNESDAY,NH,W,WWW
Christ College ATM,07-03-2013,149,75,74,701400,420300,281100,THURSDAY,NH,W,WWW
Christ College ATM,08-03-2013,128,75,53,746700,520700,226000,FRIDAY,NH,W,WWH
Christ College ATM,09-03-2013,102,52,50,659100,450400,208700,SATURDAY,NH,H,WHH
Christ College ATM,10-03-2013,69,35,34,275400,176600,98800,SUNDAY,NH,H,HWW
Christ College ATM,11-03-2013,134,67,67,694400,490700,203700,MONDAY,NH,W,HWW
Christ College ATM,12-03-2013,113,59,54,455700,264200,191500,TUESDAY,NH,W,WWW
Christ College ATM,13-03-2013,86,49,37,398200,282000,116200,WEDNESDAY,NH,W,WWW
Christ College ATM,14-03-2013,95,53,42,463400,320600,142800,THURSDAY,NH,W,WWW
Christ College ATM,15-03-2013,81,49,32,359700,248800,110900,FRIDAY,NH,W,WWH
Christ College ATM,16-03-2013,107,57,50,530600,331000,199600,SATURDAY,NH,H,WHH
Christ College ATM,17-03-2013,87,37,50,293100,169800,123300,SUNDAY,NH,H,HHW
Christ College ATM,18-03-2013,114,39,75,356900,118200,238700,MONDAY,NH,W,HWW
Christ College ATM,19-03-2013,110,45,65,494600,246600,248000,TUESDAY,NH,W,WWW
Christ College ATM,20-03-2013,122,53,69,444900,251700,193200,WEDNESDAY,NH,W,WWW
Christ College ATM,21-03-2013,117,58,59,609700,437500,172200,THURSDAY,NH,W,WWW
Christ College ATM,22-03-2013,127,50,77,580100,275300,304800,FRIDAY,NH,W,WWH
Christ College ATM,23-03-2013,101,60,41,391100,247200,143900,SATURDAY,NH,H,WHH
Christ College ATM,24-03-2013,79,37,42,294400,174300,120100,SUNDAY,NH,H,HHW
Christ College ATM,25-03-2013,118,53,65,487600,256600,231000,MONDAY,NH,W,HWW
Christ College ATM,26-03-2013,96,42,54,391200,201500,189700,TUESDAY,NH,W,WWW
Christ College ATM,27-03-2013,118,63,55,562500,377100,185400,WEDNESDAY,NH,W,WWW
Christ College ATM,28-03-2013,170,78,92,778100,405500,372600,THURSDAY,NH,W,WWH
Christ College ATM,29-03-2013,82,40,42,352800,216400,136400,FRIDAY,C,H,WHH
Christ College ATM,30-03-2013,147,58,89,722900,312000,410900,SATURDAY,NH,H,HHH
Christ College ATM,31-03-2013,98,42,56,343800,160500,183300,SUNDAY,NH,H,HHW
Christ College ATM,01-04-2013,144,54,90,713100,370600,342500,MONDAY,NH,W,HWW
Christ College ATM,02-04-2013,147,62,85,518600,236500,282100,TUESDAY,NH,W,WWW
Christ College ATM,03-04-2013,133,71,62,621700,362800,258900,WEDNESDAY,NH,W,WWW
Christ College ATM,04-04-2013,135,57,78,456700,207800,248900,THURSDAY,NH,W,WWW
Christ College ATM,05-04-2013,171,81,90,823300,503100,320200,FRIDAY,NH,W,WWH
Christ College ATM,06-04-2013,169,69,100,874400,411700,462700,SATURDAY,NH,H,WHH
Christ College ATM,07-04-2013,109,39,70,419400,187800,231600,SUNDAY,NH,H,HHW
Christ College ATM,08-04-2013,118,35,83,539400,172400,367000,MONDAY,NH,W,HWW
Christ College ATM,09-04-2013,101,47,54,567300,332100,235200,TUESDAY,NH,W,WWW
Christ College ATM,10-04-2013,85,42,43,329500,190200,139300,WEDNESDAY,NH,W,WWH
Christ College ATM,11-04-2013,100,40,60,342100,160600,181500,THURSDAY,H,H,WHW
Christ College ATM,12-04-2013,125,54,71,484900,283900,201000,FRIDAY,NH,W,HWH
Christ College ATM,13-04-2013,140,79,61,618900,405700,213200,SATURDAY,NH,H,WHH
Christ College ATM,14-04-2013,98,40,58,385100,200600,184500,SUNDAY,N,H,HHW
Christ College ATM,15-04-2013,106,41,65,498600,246100,252500,MONDAY,NH,W,HWW
Christ College ATM,16-04-2013,127,63,64,478700,324900,153800,TUESDAY,NH,W,WWW
Christ College ATM,17-04-2013,133,67,66,582400,341800,240600,WEDNESDAY,NH,W,WWW
Christ College ATM,18-04-2013,106,44,62,406800,210200,196600,THURSDAY,NH,W,WWW
Christ College ATM,19-04-2013,162,69,93,569700,281100,288600,FRIDAY,NH,W,WWH
Christ College ATM,20-04-2013,138,64,74,525600,305100,220500,SATURDAY,NH,H,WHH
Christ College ATM,21-04-2013,91,42,49,234500,116200,118300,SUNDAY,NH,H,HHW
Christ College ATM,22-04-2013,105,45,60,334300,143800,190500,MONDAY,NH,W,HWW
Christ College ATM,23-04-2013,99,53,46,417000,307900,109100,TUESDAY,NH,W,WWH
Christ College ATM,24-04-2013,71,35,36,193800,109100,84700,WEDNESDAY,H,H,WHW
Christ College ATM,25-04-2013,125,57,68,584400,340000,244400,THURSDAY,NH,W,HWW
Christ College ATM,26-04-2013,120,47,73,480800,205800,275000,FRIDAY,NH,W,WWH
Christ College ATM,27-04-2013,118,53,65,550500,318500,232000,SATURDAY,NH,H,WHH
Christ College ATM,28-04-2013,70,32,38,196200,141000,55200,SUNDAY,NH,H,HHW
Christ College ATM,29-04-2013,116,51,65,490000,303400,186600,MONDAY,NH,W,HWW
Christ College ATM,30-04-2013,134,56,78,631600,318000,313600,TUESDAY,NH,W,WWH
Christ College ATM,01-05-2013,122,38,84,461300,167000,294300,WEDNESDAY,N,H,WHW
Christ College ATM,02-05-2013,143,67,76,825600,482100,343500,THURSDAY,NH,W,HWW
Christ College ATM,03-05-2013,142,65,77,780300,438000,342300,FRIDAY,NH,W,WWH
Christ College ATM,04-05-2013,156,71,85,721100,390300,330800,SATURDAY,NH,H,WHH
Christ College ATM,05-05-2013,145,62,83,527300,247800,279500,SUNDAY,NH,H,HHW
Christ College ATM,06-05-2013,148,57,91,528900,210300,318600,MONDAY,NH,W,HWW
Christ College ATM,07-05-2013,156,70,86,729100,361500,367600,TUESDAY,NH,W,WWW
Christ College ATM,08-05-2013,145,76,69,794000,509100,284900,WEDNESDAY,NH,W,WWW
Christ College ATM,09-05-2013,104,42,62,497700,241400,256300,THURSDAY,NH,W,WWW
Christ College ATM,10-05-2013,34,16,18,159200,103100,56100,FRIDAY,NH,W,WWH
Christ College ATM,11-05-2013,157,56,101,668200,230200,438000,SATURDAY,NH,H,WHH
Christ College ATM,12-05-2013,139,34,105,544100,136700,407400,SUNDAY,NH,H,HHW
Christ College ATM,13-05-2013,190,72,118,890100,387100,503000,MONDAY,NH,W,HWW
Christ College ATM,14-05-2013,111,53,58,470500,333600,136900,TUESDAY,NH,W,WWW
Christ College ATM,15-05-2013,103,50,53,616700,402500,214200,WEDNESDAY,NH,W,WWW
Christ College ATM,16-05-2013,94,46,48,507500,295800,211700,THURSDAY,NH,W,WWW
Christ College ATM,17-05-2013,101,54,47,419400,323700,95700,FRIDAY,NH,W,WWH
Christ College ATM,18-05-2013,95,55,40,415700,240200,175500,SATURDAY,NH,H,WHH
Christ College ATM,19-05-2013,82,41,41,248700,165100,83600,SUNDAY,NH,H,HHW
Christ College ATM,20-05-2013,104,45,59,425100,169400,255700,MONDAY,NH,W,HWW
Christ College ATM,21-05-2013,105,56,49,597000,379300,217700,TUESDAY,NH,W,WWW
Christ College ATM,22-05-2013,108,52,56,489200,249100,240100,WEDNESDAY,NH,W,WWW
Christ College ATM,23-05-2013,126,45,81,524300,217200,307100,THURSDAY,NH,W,WWW
Christ College ATM,24-05-2013,87,43,44,309200,159200,150000,FRIDAY,NH,W,WWH
Christ College ATM,25-05-2013,124,54,70,605900,303600,302300,SATURDAY,H,H,WHH
Christ College ATM,26-05-2013,88,41,47,293400,182400,111000,SUNDAY,NH,H,HHW
Christ College ATM,27-05-2013,170,51,119,875800,288700,587100,MONDAY,NH,W,HWW
Christ College ATM,28-05-2013,125,65,60,590300,296300,294000,TUESDAY,NH,W,WWW
Christ College ATM,29-05-2013,128,51,77,645100,317600,327500,WEDNESDAY,NH,W,WWW
Christ College ATM,30-05-2013,121,52,69,445700,240700,205000,THURSDAY,NH,W,WWW
Christ College ATM,31-05-2013,149,51,98,756300,254600,501700,FRIDAY,NH,W,WWH
Christ College ATM,01-06-2013,146,50,96,757500,261900,495600,SATURDAY,NH,H,WHH
Christ College ATM,02-06-2013,174,40,134,894700,182700,712000,SUNDAY,NH,H,HHW
Christ College ATM,03-06-2013,133,54,79,784500,461600,322900,MONDAY,NH,W,HWW
Christ College ATM,04-06-2013,177,56,121,958100,370400,587700,TUESDAY,NH,W,WWW
Christ College ATM,05-06-2013,205,61,144,955400,280900,674500,WEDNESDAY,NH,W,WWW
Christ College ATM,06-06-2013,121,67,54,597400,358400,239000,THURSDAY,NH,W,WWW
Christ College ATM,07-06-2013,123,55,68,526900,257600,269300,FRIDAY,NH,W,WWH
Christ College ATM,08-06-2013,127,68,59,652100,404500,247600,SATURDAY,NH,H,WHH
Christ College ATM,09-06-2013,94,43,51,363600,192600,171000,SUNDAY,NH,H,HHW
Christ College ATM,10-06-2013,115,40,75,521800,170100,351700,MONDAY,NH,W,HWW
Christ College ATM,11-06-2013,136,43,93,584900,225700,359200,TUESDAY,NH,W,WWW
Christ College ATM,12-06-2013,111,49,62,528100,247400,280700,WEDNESDAY,NH,W,WWW
Christ College ATM,13-06-2013,76,34,42,335000,190900,144100,THURSDAY,NH,W,WWW
Christ College ATM,14-06-2013,104,50,54,477100,255700,221400,FRIDAY,NH,W,WWH
Christ College ATM,15-06-2013,111,50,61,562000,329100,232900,SATURDAY,NH,H,WHH
Christ College ATM,16-06-2013,72,36,36,307000,194700,112300,SUNDAY,NH,H,HHW
Christ College ATM,17-06-2013,120,54,66,532700,272900,259800,MONDAY,NH,W,HWW
