ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence
Christ College ATM,12-03-2011,67,36,31,262300,98100,164200,Saturday,NH,H,WHH
Christ College ATM,13-03-2011,52,19,33,153200,54800,98400,Sunday,NH,H,HHW
Christ College ATM,14-03-2011,77,38,39,283200,154000,129200,Monday,NH,W,HWW
Christ College ATM,15-03-2011,61,31,30,183900,89700,94200,Tuesday,NH,W,WWW
Christ College ATM,16-03-2011,61,32,29,220200,138700,81500,Wednesday,NH,W,WWW
Christ College ATM,17-03-2011,55,29,26,238800,144700,94100,Thursday,NH,W,WWW
Christ College ATM,18-03-2011,74,48,26,290000,192200,97800,Friday,NH,W,WWH
Christ College ATM,19-03-2011,92,50,42,345600,234000,111600,Saturday,NH,H,WHH
Christ College ATM,20-03-2011,48,27,21,164400,120200,44200,Sunday,H,H,HHW
Christ College ATM,21-03-2011,60,36,24,287700,213700,74000,Monday,NH,W,HWW
Christ College ATM,22-03-2011,69,38,31,250200,173300,76900,Tuesday,NH,W,WWW
Christ College ATM,23-03-2011,55,38,17,237200,196700,40500,Wednesday,NH,W,WWW
Christ College ATM,24-03-2011,61,35,26,304000,184000,120000,Thursday,NH,W,WWW
Christ College ATM,25-03-2011,52,40,12,206500,185600,20900,Friday,NH,W,WWH
Christ College ATM,26-03-2011,62,35,27,215100,160500,54600,Saturday,NH,H,WHH
Christ College ATM,27-03-2011,58,34,24,286200,167000,119200,Sunday,NH,H,HHW
Christ College ATM,28-03-2011,72,48,24,263600,226900,36700,Monday,NH,W,HWW
Christ College ATM,29-03-2011,80,39,41,298000,208800,89200,Tuesday,NH,W,WWW
Christ College ATM,30-03-2011,100,43,57,399600,217700,181900,Wednesday,NH,W,WWW
Christ College ATM,31-03-2011,96,53,43,514200,374100,140100,Thursday,NH,W,WWW
Christ College ATM,01-04-2011,75,29,46,336600,195200,141400,Friday,NH,W,WWH
Christ College ATM,02-04-2011,71,33,38,285100,147000,138100,Saturday,NH,H,WHH
Christ College ATM,03-04-2011,82,23,59,333000,109600,223400,Sunday,NH,H,HHW
Christ College ATM,04-04-2011,71,35,36,295600,145700,149900,Monday,H,W,HWW
Christ College ATM,05-04-2011,99,53,46,423500,246500,177000,Tuesday,NH,W,WWW
Christ College ATM,06-04-2011,106,40,66,388700,161000,227700,Wednesday,NH,W,WWW
Christ College ATM,07-04-2011,86,50,36,388600,211200,177400,Thursday,NH,W,WWW
Christ College ATM,08-04-2011,95,48,47,373000,187600,185400,Friday,NH,W,WWH
Christ College ATM,09-04-2011,91,57,34,483600,328700,154900,Saturday,NH,H,WHH
Christ College ATM,10-04-2011,58,15,43,217800,43700,174100,Sunday,NH,H,HHW
Christ College ATM,11-04-2011,78,45,33,283400,197100,86300,Monday,NH,W,HWH
Christ College ATM,12-04-2011,82,46,36,322800,204500,118300,Tuesday,H,H,WHW
Christ College ATM,13-04-2011,67,27,40,268700,119400,149300,Wednesday,NH,W,HWH
Christ College ATM,14-04-2011,39,21,18,157000,90400,66600,Thursday,N,H,WHW
Christ College ATM,15-04-2011,96,37,59,468500,196700,271800,Friday,NH,W,HWH
Christ College ATM,16-04-2011,79,35,44,297900,103000,194900,Saturday,H,H,WHH
Christ College ATM,17-04-2011,69,22,47,174500,27700,146800,Sunday,NH,H,HHW
Christ College ATM,18-04-2011,96,47,49,469100,235700,233400,Monday,NH,W,HWW
Christ College ATM,19-04-2011,81,47,34,273000,194500,78500,Tuesday,NH,W,WWW
Christ College ATM,20-04-2011,80,50,30,305700,197200,108500,Wednesday,NH,W,WWW
Christ College ATM,21-04-2011,62,40,22,165900,136100,29800,Thursday,NH,W,WWH
Christ College ATM,22-04-2011,51,11,40,173300,23700,149600,Friday,C,H,WHH
Christ College ATM,23-04-2011,75,31,44,402500,219700,182800,Saturday,NH,H,HHH
Christ College ATM,24-04-2011,52,19,33,153700,59100,94600,Sunday,NH,H,HHW
Christ College ATM,25-04-2011,44,26,18,246600,178500,68100,Monday,NH,W,HWW
Christ College ATM,26-04-2011,72,46,26,335800,230000,105800,Tuesday,NH,W,WWW
Christ College ATM,27-04-2011,73,50,23,370400,303000,67400,Wednesday,NH,W,WWW
Christ College ATM,28-04-2011,61,40,21,270500,220400,50100,Thursday,NH,W,WWW
Christ College ATM,29-04-2011,77,45,32,270700,155500,115200,Friday,NH,W,WWH
Christ College ATM,30-04-2011,65,34,31,274900,148000,126900,Saturday,NH,H,WHH
Christ College ATM,01-05-2011,52,20,32,200300,79100,121200,Sunday,N,H,HHW
Christ College ATM,02-05-2011,93,42,51,436200,228800,207400,Monday,NH,W,HWW
Christ College ATM,03-05-2011,77,48,29,365300,250900,114400,Tuesday,NH,W,WWW
Christ College ATM,04-05-2011,64,45,19,237600,183500,54100,Wednesday,NH,W,WWW
Christ College ATM,05-05-2011,82,46,36,336000,220300,115700,Thursday,NH,W,WWW
Christ College ATM,06-05-2011,106,45,61,408100,163100,245000,Friday,NH,W,WWH
